ReviewID,ProductID,CustomerID,Category,Channel,Platform,Rating,Sentiment,ReviewDate,HelpfulVotes,VerifiedPurchase
REV-00031,PROD-KURTA-001,1363,kurta,Ajio,Tablet App,5,Positive,2023-04-30,61,True
REV-00032,PROD-BLOUSE-001,3105,Blouse,Amazon,Tablet App,5,Positive,2022-12-04,33,True
REV-00033,PROD-TOP-002,1269,Top,Myntra,Mobile Web,4,Positive,2024-09-23,27,True
REV-00034,PROD-JACKET-001,2570,Jacket,Amazon,Mobile App,5,Positive,2022-05-05,74,True
REV-00035,PROD-DUPATTA-001,1290,Dupatta,Amazon,Mobile App,5,Positive,2024-12-23,108,True
REV-00036,PROD-KURTA-003,3308,kurta,Amazon,Desktop Web,5,Positive,2023-04-27,74,False
REV-00037,PROD-KURTA-002,4782,kurta,Nalli,Mobile Web,5,Positive,2024-05-08,119,True
REV-00038,PROD-DRESS-001,1956,Western Dress,Flipkart,Tablet App,5,Positive,2023-10-06,16,True
REV-00039,PROD-BOTTOM-001,77,Bottom,Ajio,Mobile App,4,Positive,2022-05-29,9,False
REV-00040,PROD-DRESS-001,2860,Western Dress,Amazon,Desktop Web,4,Positive,2022-09-29,47,True
REV-00041,PROD-SET-003,4334,Set,Amazon,Mobile Web,4,Positive,2023-09-12,119,True
REV-00042,PROD-SET-002,4533,Set,Myntra,Mobile Web,4,Positive,2022-08-08,36,False
REV-00043,PROD-DRESS-001,2163,Western Dress,Nalli,Tablet App,5,Positive,2023-02-21,32,True
REV-00044,PROD-KURTA-003,362,kurta,Amazon,Mobile Web,5,Positive,2023-07-21,98,True
REV-00045,PROD-TOP-001,4520,Top,Ajio,Mobile App,3,Neutral,2024-06-23,14,True
REV-00046,PROD-SET-002,4772,Set,Nalli,Desktop Web,4,Positive,2024-01-27,55,True
REV-00047,PROD-KURTA-002,2932,kurta,Myntra,Desktop Web,4,Positive,2022-03-23,85,True
REV-00048,PROD-SAREE-002,1267,Saree,Myntra,Desktop Web,5,Positive,2024-04-12,102,True
REV-00049,PROD-ETHNIC-001,3373,Ethnic Dress,Myntra,Mobile Web,1,Negative,2023-11-12,20,True
REV-00050,PROD-BLOUSE-001,1823,Blouse,Myntra,Tablet App,5,Positive,2024-08-21,44,True
REV-00051,PROD-DRESS-002,3265,Western Dress,Flipkart,Mobile Web,4,Positive,2023-01-31,110,True
REV-00052,PROD-TOP-001,3275,Top,Nalli,Mobile Web,4,Positive,2024-11-09,120,True
REV-00053,PROD-SET-001,1463,Set,Nalli,Mobile Web,5,Positive,2023-06-19,4,True
REV-00054,PROD-SUIT-001,3575,Suit,Nalli,Mobile App,4,Positive,2023-10-05,49,False
REV-00055,PROD-DRESS-001,14,Western Dress,Nalli,Desktop Web,4,Positive,2024-06-12,46,True
REV-00056,PROD-KURTA-003,2572,kurta,Amazon,Mobile Web,5,Positive,2023-11-08,64,True
REV-00057,PROD-ETHNIC-001,4542,Ethnic Dress,Myntra,Desktop Web,4,Positive,2023-08-29,53,True
REV-00058,PROD-SET-003,3327,Set,Nalli,Mobile App,5,Positive,2023-09-09,38,True
REV-00059,PROD-DRESS-001,3810,Western Dress,Ajio,Tablet App,4,Positive,2023-10-22,86,True
REV-00060,PROD-DUPATTA-001,695,Dupatta,Flipkart,Mobile Web,4,Positive,2022-12-14,11,True
REV-00061,PROD-TOP-002,1208,Top,Amazon,Mobile App,4,Positive,2023-02-12,31,True
REV-00062,PROD-SUIT-001,3731,Suit,Ajio,Desktop Web,5,Positive,2022-05-30,91,True
REV-00063,PROD-BOTTOM-002,46,Bottom,Amazon,Tablet App,4,Positive,2022-10-30,28,True
REV-00064,PROD-DUPATTA-001,995,Dupatta,Ajio,Desktop Web,4,Positive,2023-05-26,102,True
REV-00065,PROD-DUPATTA-001,3626,Dupatta,Nalli,Tablet App,5,Positive,2023-10-12,106,False
REV-00066,PROD-BOTTOM-001,3687,Bottom,Flipkart,Desktop Web,5,Positive,2024-08-30,107,True
REV-00067,PROD-DUPATTA-001,2250,Dupatta,Ajio,Mobile App,4,Positive,2023-05-05,91,True
REV-00068,PROD-DRESS-002,4425,Western Dress,Amazon,Desktop Web,4,Positive,2023-10-17,19,True
REV-00069,PROD-BLOUSE-001,527,Blouse,Ajio,Tablet App,5,Positive,2023-03-15,42,False
REV-00070,PROD-BOTTOM-001,3442,Bottom,Ajio,Mobile App,4,Positive,2023-02-28,109,False
REV-00071,PROD-BLOUSE-001,2447,Blouse,Ajio,Tablet App,4,Positive,2023-12-22,68,False
REV-00072,PROD-SUIT-001,1798,Suit,Flipkart,Tablet App,5,Positive,2024-09-26,62,True
REV-00073,PROD-BLOUSE-001,1353,Blouse,Ajio,Desktop Web,4,Positive,2024-04-08,79,False
REV-00074,PROD-KURTA-001,688,kurta,Ajio,Desktop Web,5,Positive,2022-02-25,110,True
REV-00075,PROD-SET-003,2682,Set,Myntra,Tablet App,2,Negative,2024-02-16,41,True
REV-00076,PROD-BLOUSE-001,2067,Blouse,Amazon,Tablet App,4,Positive,2024-05-13,2,False
REV-00077,PROD-KURTA-002,1837,kurta,Amazon,Mobile App,5,Positive,2023-12-18,96,True
REV-00078,PROD-DRESS-002,1249,Western Dress,Myntra,Desktop Web,3,Neutral,2022-02-11,60,True
REV-00079,PROD-JACKET-001,2100,Jacket,Flipkart,Desktop Web,5,Positive,2024-08-10,77,False
REV-00080,PROD-SET-001,2549,Set,Amazon,Mobile App,5,Positive,2022-12-02,118,True
REV-00081,PROD-JACKET-001,3250,Jacket,Myntra,Mobile App,5,Positive,2024-02-08,75,True
REV-00082,PROD-SET-001,4919,Set,Amazon,Mobile App,5,Positive,2023-09-10,44,False
REV-00083,PROD-ETHNIC-001,4145,Ethnic Dress,Flipkart,Mobile App,5,Positive,2022-05-22,108,True
REV-00084,PROD-BOTTOM-002,3767,Bottom,Myntra,Tablet App,3,Neutral,2024-01-12,22,False
REV-00085,PROD-TOP-001,3809,Top,Ajio,Mobile Web,5,Positive,2024-09-17,41,True
REV-00086,PROD-KURTA-003,1998,kurta,Ajio,Tablet App,4,Positive,2024-07-12,43,True
REV-00087,PROD-BOTTOM-002,3995,Bottom,Myntra,Mobile Web,5,Positive,2023-01-08,102,True
REV-00088,PROD-SAREE-001,4554,Saree,Amazon,Desktop Web,4,Positive,2023-07-20,10,True
REV-00089,PROD-ETHNIC-001,3901,Ethnic Dress,Ajio,Tablet App,4,Positive,2023-05-08,101,True
REV-00090,PROD-KURTA-003,1994,kurta,Flipkart,Mobile Web,4,Positive,2024-04-08,60,False
REV-00091,PROD-DUPATTA-001,2883,Dupatta,Ajio,Mobile Web,4,Positive,2023-11-09,39,True
REV-00092,PROD-DRESS-002,2585,Western Dress,Amazon,Desktop Web,3,Neutral,2023-01-30,24,True
REV-00093,PROD-BOTTOM-002,4889,Bottom,Flipkart,Mobile App,4,Positive,2024-12-10,106,True
REV-00094,PROD-TOP-002,2477,Top,Amazon,Desktop Web,4,Positive,2023-01-03,35,True
REV-00095,PROD-KURTA-002,4022,kurta,Amazon,Mobile App,5,Positive,2022-09-16,73,True
REV-00096,PROD-BOTTOM-002,1511,Bottom,Amazon,Mobile Web,4,Positive,2023-11-29,120,True
REV-00097,PROD-SET-001,4029,Set,Amazon,Mobile App,5,Positive,2024-03-31,19,True
REV-00098,PROD-JACKET-001,2034,Jacket,Amazon,Tablet App,5,Positive,2022-06-24,77,False
REV-00099,PROD-SUIT-001,3117,Suit,Ajio,Tablet App,4,Positive,2024-12-06,38,False
REV-00100,PROD-ETHNIC-001,4995,Ethnic Dress,Amazon,Desktop Web,4,Positive,2022-05-04,80,True
REV-00101,PROD-TOP-001,1965,Top,Myntra,Mobile App,5,Positive,2022-11-18,20,True
REV-00102,PROD-ETHNIC-001,2386,Ethnic Dress,Amazon,Desktop Web,4,Positive,2024-08-20,36,True
REV-00103,PROD-BOTTOM-001,2168,Bottom,Nalli,Desktop Web,2,Negative,2023-04-24,54,True
REV-00104,PROD-LEHENGA-001,2177,Lehenga Choli,Myntra,Mobile App,4,Positive,2022-11-02,7,True
REV-00105,PROD-TOP-002,3598,Top,Amazon,Tablet App,5,Positive,2023-08-15,88,True
REV-00106,PROD-BLOUSE-001,4424,Blouse,Ajio,Tablet App,5,Positive,2024-10-21,10,False
REV-00107,PROD-KURTA-002,4946,kurta,Flipkart,Mobile App,5,Positive,2023-10-23,11,True
REV-00108,PROD-JACKET-001,2208,Jacket,Nalli,Mobile App,5,Positive,2022-02-12,97,True
REV-00109,PROD-BOTTOM-002,2279,Bottom,Myntra,Tablet App,4,Positive,2024-06-24,81,True
REV-00110,PROD-KURTA-003,2731,kurta,Flipkart,Mobile App,4,Positive,2024-04-16,109,True
REV-00111,PROD-SAREE-001,2362,Saree,Ajio,Mobile App,4,Positive,2024-10-11,58,True
REV-00112,PROD-SAREE-001,3312,Saree,Nalli,Mobile App,4,Positive,2022-08-26,84,False
REV-00113,PROD-BOTTOM-001,4248,Bottom,Flipkart,Tablet App,4,Positive,2023-01-20,80,True
REV-00114,PROD-KURTA-002,2360,kurta,Ajio,Tablet App,4,Positive,2022-09-26,15,True
REV-00115,PROD-SUIT-001,2546,Suit,Nalli,Mobile App,5,Positive,2022-11-21,70,True
REV-00116,PROD-KURTA-003,3781,kurta,Amazon,Desktop Web,4,Positive,2022-08-21,63,True
REV-00117,PROD-DUPATTA-001,3953,Dupatta,Ajio,Desktop Web,5,Positive,2024-04-30,58,False
REV-00118,PROD-SET-002,1119,Set,Amazon,Mobile Web,4,Positive,2024-11-06,98,True
REV-00119,PROD-SAREE-001,2189,Saree,Amazon,Mobile Web,5,Positive,2024-11-05,92,True
REV-00120,PROD-JACKET-001,1218,Jacket,Ajio,Tablet App,5,Positive,2024-09-29,44,True
REV-00121,PROD-LEHENGA-001,3731,Lehenga Choli,Flipkart,Desktop Web,5,Positive,2024-02-12,89,True
REV-00122,PROD-JACKET-001,358,Jacket,Flipkart,Tablet App,4,Positive,2024-04-21,90,True
REV-00123,PROD-BLOUSE-001,4058,Blouse,Amazon,Desktop Web,5,Positive,2022-11-08,64,False
REV-00124,PROD-SAREE-001,817,Saree,Nalli,Tablet App,5,Positive,2024-06-20,1,True
REV-00125,PROD-ETHNIC-001,613,Ethnic Dress,Ajio,Mobile Web,5,Positive,2022-11-13,43,False
REV-00126,PROD-BLOUSE-001,4372,Blouse,Ajio,Mobile Web,5,Positive,2023-11-04,80,True
REV-00127,PROD-LEHENGA-001,1924,Lehenga Choli,Flipkart,Desktop Web,2,Negative,2022-05-21,95,True
REV-00128,PROD-ETHNIC-001,3635,Ethnic Dress,Myntra,Mobile Web,5,Positive,2022-07-25,115,True
REV-00129,PROD-KURTA-002,2404,kurta,Flipkart,Mobile Web,4,Positive,2022-04-25,55,True
REV-00130,PROD-DRESS-002,1393,Western Dress,Myntra,Mobile App,4,Positive,2023-01-04,78,True
REV-00131,PROD-SUIT-001,4778,Suit,Myntra,Desktop Web,5,Positive,2024-10-16,59,True
REV-00132,PROD-BOTTOM-001,3812,Bottom,Flipkart,Desktop Web,4,Positive,2022-01-20,9,True
REV-00133,PROD-SAREE-002,3476,Saree,Flipkart,Tablet App,5,Positive,2023-09-05,108,True
REV-00134,PROD-DRESS-001,874,Western Dress,Myntra,Tablet App,5,Positive,2024-09-16,73,True
REV-00135,PROD-JACKET-001,180,Jacket,Ajio,Mobile Web,4,Positive,2023-08-28,1,False
REV-00136,PROD-KURTA-002,2345,kurta,Myntra,Mobile Web,5,Positive,2024-10-14,28,True
REV-00137,PROD-SUIT-001,796,Suit,Amazon,Mobile Web,4,Positive,2022-10-08,100,True
REV-00138,PROD-KURTA-002,739,kurta,Flipkart,Mobile Web,5,Positive,2022-09-27,95,True
REV-00139,PROD-SET-003,4349,Set,Nalli,Mobile Web,4,Positive,2024-01-20,106,True
REV-00140,PROD-TOP-001,2418,Top,Flipkart,Mobile App,5,Positive,2024-09-13,59,True
REV-00141,PROD-SET-002,3256,Set,Nalli,Mobile Web,5,Positive,2023-04-08,11,True
REV-00142,PROD-KURTA-001,3726,kurta,Flipkart,Mobile Web,4,Positive,2022-09-11,74,True
REV-00143,PROD-SAREE-002,3863,Saree,Amazon,Mobile Web,3,Neutral,2023-04-24,117,False
REV-00144,PROD-DRESS-002,2476,Western Dress,Ajio,Mobile App,5,Positive,2024-08-08,17,True
REV-00145,PROD-KURTA-002,952,kurta,Amazon,Desktop Web,4,Positive,2024-10-05,113,False
REV-00146,PROD-SET-002,4426,Set,Ajio,Desktop Web,4,Positive,2024-01-30,113,True
REV-00147,PROD-SET-001,2292,Set,Amazon,Mobile Web,5,Positive,2024-04-15,27,True
REV-00148,PROD-BOTTOM-001,814,Bottom,Flipkart,Mobile Web,5,Positive,2024-01-13,7,True
REV-00149,PROD-TOP-001,3726,Top,Amazon,Desktop Web,3,Neutral,2022-09-08,82,False
REV-00150,PROD-KURTA-001,1996,kurta,Myntra,Desktop Web,2,Negative,2023-11-15,8,False
REV-00151,PROD-DRESS-001,2692,Western Dress,Myntra,Mobile App,5,Positive,2023-04-23,35,True
REV-00152,PROD-SET-002,901,Set,Amazon,Desktop Web,4,Positive,2022-12-24,1,True
REV-00153,PROD-DRESS-002,1428,Western Dress,Flipkart,Mobile App,5,Positive,2022-02-02,16,True
REV-00154,PROD-DUPATTA-001,3902,Dupatta,Ajio,Mobile Web,3,Neutral,2022-05-11,65,False
REV-00155,PROD-SET-001,356,Set,Nalli,Mobile Web,4,Positive,2023-03-30,58,True
REV-00156,PROD-KURTA-002,3493,kurta,Amazon,Tablet App,5,Positive,2024-04-02,91,True
REV-00157,PROD-KURTA-003,4984,kurta,Myntra,Mobile App,5,Positive,2023-10-22,16,True
REV-00158,PROD-SUIT-001,3121,Suit,Nalli,Mobile Web,5,Positive,2023-10-28,58,False
REV-00159,PROD-SUIT-001,4517,Suit,Myntra,Tablet App,4,Positive,2022-08-23,57,True
REV-00160,PROD-ETHNIC-001,3267,Ethnic Dress,Ajio,Mobile App,4,Positive,2024-07-17,40,True
REV-00161,PROD-SAREE-001,1251,Saree,Ajio,Mobile App,5,Positive,2024-02-06,11,True
REV-00162,PROD-KURTA-003,1066,kurta,Nalli,Mobile App,4,Positive,2024-02-03,75,False
REV-00163,PROD-LEHENGA-001,3366,Lehenga Choli,Flipkart,Tablet App,4,Positive,2022-09-08,111,True
REV-00164,PROD-TOP-002,849,Top,Nalli,Desktop Web,5,Positive,2023-12-22,19,True
REV-00165,PROD-DRESS-002,4557,Western Dress,Flipkart,Mobile App,5,Positive,2023-12-19,97,True
REV-00166,PROD-JACKET-001,4596,Jacket,Nalli,Mobile App,4,Positive,2024-05-28,77,True
REV-00167,PROD-KURTA-001,2784,kurta,Flipkart,Mobile App,3,Neutral,2023-09-25,23,True
REV-00168,PROD-JACKET-001,1163,Jacket,Amazon,Mobile App,5,Positive,2022-05-23,95,False
REV-00169,PROD-DRESS-001,2793,Western Dress,Myntra,Mobile Web,4,Positive,2024-07-18,39,True
REV-00170,PROD-JACKET-001,1275,Jacket,Myntra,Mobile App,5,Positive,2022-04-18,86,True
REV-00171,PROD-TOP-001,3979,Top,Nalli,Tablet App,4,Positive,2024-05-18,53,True
REV-00172,PROD-DRESS-001,2828,Western Dress,Ajio,Mobile App,5,Positive,2022-08-22,36,False
REV-00173,PROD-BOTTOM-002,373,Bottom,Myntra,Tablet App,4,Positive,2023-09-24,76,True
REV-00174,PROD-KURTA-001,1125,kurta,Flipkart,Mobile Web,4,Positive,2023-03-09,41,True
REV-00175,PROD-KURTA-001,1440,kurta,Myntra,Tablet App,4,Positive,2024-05-31,68,True
REV-00176,PROD-DUPATTA-001,591,Dupatta,Ajio,Mobile App,5,Positive,2023-12-27,55,True
REV-00177,PROD-BOTTOM-001,4717,Bottom,Ajio,Tablet App,5,Positive,2023-10-04,90,True
REV-00178,PROD-TOP-002,2661,Top,Myntra,Tablet App,3,Neutral,2022-02-12,106,True
REV-00179,PROD-KURTA-003,1994,kurta,Ajio,Tablet App,4,Positive,2022-08-05,67,True
REV-00180,PROD-BLOUSE-001,1816,Blouse,Flipkart,Desktop Web,5,Positive,2023-11-27,9,False
REV-00181,PROD-SET-001,2863,Set,Flipkart,Desktop Web,4,Positive,2023-02-02,30,True
REV-00182,PROD-SET-002,4935,Set,Myntra,Mobile App,4,Positive,2022-12-22,22,True
REV-00183,PROD-BOTTOM-001,4625,Bottom,Nalli,Mobile Web,5,Positive,2024-07-08,110,True
REV-00184,PROD-SET-002,3623,Set,Flipkart,Mobile Web,4,Positive,2024-08-18,75,True
REV-00185,PROD-SAREE-002,3783,Saree,Ajio,Mobile App,4,Positive,2023-09-28,7,True
REV-00186,PROD-TOP-002,4867,Top,Nalli,Tablet App,2,Negative,2022-07-04,59,False
REV-00187,PROD-LEHENGA-001,3685,Lehenga Choli,Nalli,Desktop Web,5,Positive,2022-03-26,41,False
REV-00188,PROD-BOTTOM-002,3691,Bottom,Amazon,Mobile Web,4,Positive,2022-05-07,91,True
REV-00189,PROD-DUPATTA-001,2030,Dupatta,Ajio,Tablet App,5,Positive,2022-03-22,67,False
REV-00190,PROD-SUIT-001,2318,Suit,Ajio,Tablet App,3,Neutral,2024-02-03,99,True
REV-00191,PROD-SUIT-001,540,Suit,Flipkart,Mobile App,2,Negative,2023-11-17,71,True
REV-00192,PROD-TOP-002,2731,Top,Amazon,Desktop Web,4,Positive,2022-11-04,117,True
REV-00193,PROD-TOP-002,1057,Top,Nalli,Mobile App,5,Positive,2024-03-13,39,False
REV-00194,PROD-BLOUSE-001,1047,Blouse,Nalli,Mobile App,5,Positive,2023-11-04,82,True
REV-00195,PROD-DUPATTA-001,2531,Dupatta,Myntra,Desktop Web,4,Positive,2024-01-13,43,True
REV-00196,PROD-DRESS-001,1270,Western Dress,Amazon,Mobile Web,4,Positive,2022-10-09,108,True
REV-00197,PROD-DUPATTA-001,310,Dupatta,Flipkart,Desktop Web,5,Positive,2024-12-14,76,True
REV-00198,PROD-SET-002,3586,Set,Amazon,Tablet App,3,Neutral,2022-12-06,46,True
REV-00199,PROD-BOTTOM-001,1917,Bottom,Nalli,Desktop Web,5,Positive,2024-07-08,39,True
REV-00200,PROD-DRESS-001,3783,Western Dress,Flipkart,Tablet App,4,Positive,2024-06-21,64,False
REV-00201,PROD-ETHNIC-001,4954,Ethnic Dress,Myntra,Mobile Web,5,Positive,2023-02-13,6,True
REV-00202,PROD-SAREE-002,4227,Saree,Amazon,Mobile Web,5,Positive,2022-07-30,10,True
REV-00203,PROD-TOP-001,1208,Top,Ajio,Mobile App,4,Positive,2024-11-17,116,True
REV-00204,PROD-BOTTOM-001,3399,Bottom,Amazon,Tablet App,5,Positive,2022-02-24,64,True
REV-00205,PROD-DRESS-002,3072,Western Dress,Myntra,Mobile App,4,Positive,2022-06-17,40,True
REV-00206,PROD-SAREE-001,314,Saree,Flipkart,Tablet App,5,Positive,2022-10-09,89,True
REV-00207,PROD-BOTTOM-002,650,Bottom,Amazon,Mobile Web,4,Positive,2022-01-11,27,True
REV-00208,PROD-LEHENGA-001,3468,Lehenga Choli,Amazon,Mobile Web,5,Positive,2024-12-16,30,True
REV-00209,PROD-SET-001,3745,Set,Amazon,Mobile App,2,Negative,2024-05-09,107,True
REV-00210,PROD-SUIT-001,4711,Suit,Myntra,Desktop Web,4,Positive,2024-11-21,37,True
REV-00211,PROD-KURTA-001,4675,kurta,Ajio,Desktop Web,5,Positive,2023-05-08,85,True
REV-00212,PROD-DUPATTA-001,4310,Dupatta,Nalli,Mobile App,5,Positive,2022-05-19,49,True
REV-00213,PROD-KURTA-002,2078,kurta,Amazon,Mobile Web,5,Positive,2024-02-04,100,True
REV-00214,PROD-SAREE-002,4767,Saree,Flipkart,Desktop Web,4,Positive,2022-08-01,5,True
REV-00215,PROD-LEHENGA-001,3807,Lehenga Choli,Ajio,Desktop Web,4,Positive,2022-12-25,103,True
REV-00216,PROD-KURTA-003,303,kurta,Flipkart,Desktop Web,5,Positive,2024-07-26,5,True
REV-00217,PROD-KURTA-002,4223,kurta,Ajio,Tablet App,4,Positive,2023-09-28,32,True
REV-00218,PROD-DRESS-001,2720,Western Dress,Flipkart,Mobile App,4,Positive,2022-04-08,102,True
REV-00219,PROD-ETHNIC-001,3168,Ethnic Dress,Flipkart,Desktop Web,5,Positive,2024-06-19,63,True
REV-00220,PROD-SAREE-002,2185,Saree,Amazon,Tablet App,5,Positive,2024-11-29,10,True
REV-00221,PROD-SUIT-001,4469,Suit,Flipkart,Mobile Web,5,Positive,2023-01-05,13,True
REV-00222,PROD-SAREE-001,3653,Saree,Nalli,Tablet App,5,Positive,2023-09-20,21,True
REV-00223,PROD-SAREE-002,3564,Saree,Flipkart,Mobile App,4,Positive,2023-12-24,9,True
REV-00224,PROD-SAREE-002,256,Saree,Myntra,Tablet App,4,Positive,2022-11-24,4,True
REV-00225,PROD-KURTA-003,2967,kurta,Ajio,Mobile App,4,Positive,2024-01-21,77,True
REV-00226,PROD-BOTTOM-001,3637,Bottom,Amazon,Desktop Web,5,Positive,2024-02-01,67,True
REV-00227,PROD-BLOUSE-001,2045,Blouse,Amazon,Mobile App,4,Positive,2023-07-25,94,True
REV-00228,PROD-BOTTOM-002,2145,Bottom,Flipkart,Tablet App,4,Positive,2022-08-30,27,False
REV-00229,PROD-TOP-002,1640,Top,Amazon,Desktop Web,5,Positive,2024-10-02,109,True
REV-00230,PROD-BOTTOM-001,720,Bottom,Flipkart,Mobile Web,3,Neutral,2024-06-30,90,True
REV-00231,PROD-LEHENGA-001,1291,Lehenga Choli,Myntra,Mobile Web,4,Positive,2023-09-07,65,True
REV-00232,PROD-SET-001,1940,Set,Ajio,Mobile App,5,Positive,2022-10-12,46,False
REV-00233,PROD-JACKET-001,707,Jacket,Amazon,Mobile Web,4,Positive,2022-09-23,50,True
REV-00234,PROD-DUPATTA-001,4710,Dupatta,Amazon,Desktop Web,4,Positive,2024-04-18,40,True
REV-00235,PROD-BOTTOM-001,2823,Bottom,Myntra,Desktop Web,4,Positive,2024-11-25,98,True
REV-00236,PROD-ETHNIC-001,1018,Ethnic Dress,Nalli,Desktop Web,4,Positive,2022-04-24,38,True
REV-00237,PROD-SET-003,2835,Set,Nalli,Mobile Web,4,Positive,2023-04-07,108,True
REV-00238,PROD-TOP-001,1026,Top,Flipkart,Mobile App,3,Neutral,2023-07-17,64,True
REV-00239,PROD-JACKET-001,1403,Jacket,Nalli,Mobile Web,5,Positive,2022-11-12,107,False
REV-00240,PROD-KURTA-002,666,kurta,Amazon,Mobile Web,5,Positive,2022-02-28,83,True
REV-00241,PROD-JACKET-001,4080,Jacket,Nalli,Mobile Web,4,Positive,2022-03-04,82,True
REV-00242,PROD-BOTTOM-002,2437,Bottom,Ajio,Mobile App,4,Positive,2024-04-11,88,True
REV-00243,PROD-SET-003,3805,Set,Myntra,Mobile Web,4,Positive,2024-09-18,77,True
REV-00244,PROD-SAREE-001,2830,Saree,Ajio,Desktop Web,5,Positive,2023-10-16,97,True
REV-00245,PROD-DUPATTA-001,1981,Dupatta,Ajio,Mobile App,5,Positive,2023-10-16,34,True
REV-00246,PROD-DRESS-002,2378,Western Dress,Ajio,Tablet App,3,Neutral,2022-04-14,31,True
REV-00247,PROD-SAREE-001,1556,Saree,Myntra,Tablet App,5,Positive,2023-10-03,65,True
REV-00248,PROD-BOTTOM-002,190,Bottom,Amazon,Tablet App,5,Positive,2024-10-15,64,True
REV-00249,PROD-DRESS-002,399,Western Dress,Amazon,Mobile Web,4,Positive,2023-12-24,63,False
REV-00250,PROD-BOTTOM-002,881,Bottom,Ajio,Desktop Web,4,Positive,2022-01-17,112,True
REV-00251,PROD-SAREE-002,371,Saree,Ajio,Mobile App,5,Positive,2024-01-20,72,False
REV-00252,PROD-DRESS-001,603,Western Dress,Ajio,Tablet App,4,Positive,2023-08-15,97,False
REV-00253,PROD-TOP-001,1055,Top,Amazon,Tablet App,5,Positive,2022-09-01,47,True
REV-00254,PROD-LEHENGA-001,1631,Lehenga Choli,Nalli,Tablet App,5,Positive,2022-10-23,64,True
REV-00255,PROD-KURTA-002,3881,kurta,Nalli,Tablet App,2,Negative,2023-11-14,19,False
REV-00256,PROD-DUPATTA-001,1332,Dupatta,Ajio,Mobile Web,3,Neutral,2023-10-15,75,True
REV-00257,PROD-DUPATTA-001,4013,Dupatta,Nalli,Mobile Web,5,Positive,2024-12-26,60,True
REV-00258,PROD-SAREE-002,3413,Saree,Nalli,Mobile Web,4,Positive,2022-08-13,101,True
